firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,count_web,gender,prob
Stepan,22,0.0,100.0,0.0,0.0,0.0,0.0,5452,male,1.0
Stephan,312,0.962,95.513,2.244,0.962,0.321,0.0,83620,male,1.0
Stephane,44,2.273,88.636,6.818,2.273,0.0,0.0,61694,male,0.98
Stephani,48,0.0,100.0,0.0,0.0,0.0,0.0,4792,female,1.0
Stephanie,6382,2.288,91.288,4.309,1.818,0.078,0.219,571165,female,1.0
Stephany,56,3.571,83.929,7.143,1.786,1.786,1.786,17221,female,1.0
Stephen,13940,0.76,96.291,1.112,1.729,0.057,0.05,471868,male,1.0
Stephenie,35,2.857,94.286,0.0,2.857,0.0,0.0,3249,female,1.0
Sterling,122,0.0,74.59,20.492,4.918,0.0,0.0,714,male,0.96
Stevan,54,3.704,96.296,0.0,0.0,0.0,0.0,6636,male,1.0
Steve,2897,4.833,85.399,2.209,7.214,0.242,0.104,757890,male,1.0
Steven,18797,1.351,95.271,1.181,2.054,0.074,0.069,488945,male,1.0
Stevie,35,2.857,57.143,31.429,5.714,0.0,2.857,2840,male,0.86
Stewart,340,1.176,93.824,2.353,2.647,0.0,0.0,34646,male,1.0
Stuart,1177,0.34,96.602,0.935,2.124,0.0,0.0,123287,male,1.0
Su,81,0.0,7.407,0.0,92.593,0.0,0.0,6729,female,0.79
Subhash,31,0.0,9.677,3.226,83.871,3.226,0.0,1060,male,0.99
Sudha,66,1.515,22.727,0.0,74.242,0.0,1.515,17018,female,1.0
Sudhakar,34,0.0,20.588,0.0,79.412,0.0,0.0,809,male,0.99
Sudhir,54,0.0,11.111,1.852,87.037,0.0,0.0,34674,male,1.0
Sue,1229,0.57,93.409,0.814,5.045,0.163,0.0,259660,female,1.0
Sueann,33,0.0,84.848,0.0,6.061,0.0,9.091,1115,female,1.0
Suellen,39,0.0,97.436,0.0,2.564,0.0,0.0,13400,female,1.0
Suk,46,2.174,4.348,2.174,91.304,0.0,0.0,612,male,0.68
Sukhwinder,37,5.405,21.622,0.0,72.973,0.0,0.0,145,male,0.9
Suman,43,0.0,16.279,0.0,81.395,2.326,0.0,1874,female,0.51
Sumit,45,0.0,15.556,0.0,84.444,0.0,0.0,77007,male,1.0
Summer,226,0.885,94.69,2.655,1.77,0.0,0.0,33251,female,0.98
Sun,148,0.676,8.108,0.0,90.541,0.0,0.676,7260,male,0.51
Sunday,31,0.0,61.29,35.484,3.226,0.0,0.0,4106,male,0.9
Sung,246,0.407,2.439,0.0,96.748,0.0,0.407,3926,male,0.86
Sunil,205,0.0,19.512,1.951,77.561,0.976,0.0,154248,male,1.0
Sunita,75,2.667,24.0,0.0,72.0,1.333,0.0,24663,female,1.0
Sunny,131,0.0,54.962,1.527,41.985,1.527,0.0,17058,male,0.62
Sunshine,34,0.0,97.059,2.941,0.0,0.0,0.0,22992,female,0.96
Suong,17,0.0,0.0,0.0,100.0,0.0,0.0,834,female,0.99
Surendra,44,0.0,18.182,2.273,77.273,2.273,0.0,959,male,0.99
Suresh,175,0.0,21.143,0.571,77.143,1.143,0.0,116223,male,1.0
Surinder,71,0.0,22.535,0.0,73.239,4.225,0.0,539,male,0.91
Susan,19604,1.117,96.281,0.5,1.872,0.082,0.148,572708,female,1.0
Susana,291,68.041,21.993,1.031,8.935,0.0,0.0,183200,female,1.0
Susann,33,0.0,90.909,9.091,0.0,0.0,0.0,8641,female,0.99
Susanna,196,9.184,79.082,0.0,11.735,0.0,0.0,42571,female,0.99
Susannah,75,0.0,94.667,0.0,5.333,0.0,0.0,6719,female,1.0
Susanne,498,1.004,97.992,0.201,0.803,0.0,0.0,109792,female,0.99
Susette,15,0.0,100.0,0.0,0.0,0.0,0.0,861,female,1.0
Sushil,37,0.0,21.622,0.0,78.378,0.0,0.0,32372,male,1.0
Susie,203,9.852,57.635,11.823,20.197,0.493,0.0,50287,female,1.0
Suzan,182,1.099,91.758,3.846,2.747,0.0,0.549,24713,female,0.99
Suzann,61,0.0,100.0,0.0,0.0,0.0,0.0,1746,female,1.0
Suzanna,83,8.434,85.542,1.205,4.819,0.0,0.0,7487,female,1.0
Suzanne,3986,1.455,96.839,0.477,1.154,0.0,0.075,162122,female,1.0
Suzette,208,5.288,82.212,7.692,4.327,0.481,0.0,15822,female,1.0
Suzie,30,3.333,66.667,3.333,26.667,0.0,0.0,21147,female,1.0
Suzy,34,0.0,82.353,0.0,17.647,0.0,0.0,28581,female,1.0
Sven,52,1.923,96.154,0.0,1.923,0.0,0.0,86164,male,1.0
Svetlana,210,0.0,98.571,0.0,1.429,0.0,0.0,77960,female,1.0
